date,symbol,name,sector,open_price,high_price,low_price,close_price,prev_close,percent_change,volume,turnover,transactions
2026-03-20,ACLBSL,ACLBSL,Unknown,990.0,1004.0,990.0,998.5,990.0,0.86,5849.0,5831410.5,97
2026-03-20,ADBL,ADBL,Unknown,310.0,327.9,310.0,326.5,316.3,3.22,251474.0,81118236.4,791
2026-03-20,AHL,AHL,Unknown,525.0,535.3,523.4,535.0,529.0,1.13,15642.0,8343622.1,159
2026-03-20,AHPC,AHPC,Unknown,315.0,323.3,312.0,312.7,310.0,0.87,1029656.0,326769598.4,2505
2026-03-20,AKJCL,AKJCL,Unknown,419.9,431.8,412.0,414.1,411.7,0.58,1412159.0,595711095.9,2455
2026-03-20,AKPL,AKPL,Unknown,305.0,317.0,301.2,310.0,299.5,3.51,1694102.0,530651916.6,4661
2026-03-20,ALBSL,ALBSL,Unknown,1117.2,1174.0,1117.2,1160.0,1140.0,1.75,34337.0,39616483.8,337
2026-03-20,ALICL,ALICL,Unknown,475.0,485.5,470.9,483.7,470.0,2.91,87150.0,41745789.1,411
2026-03-20,ANLB,ANLB,Unknown,6370.0,6599.0,6266.1,6500.0,6500.0,0.0,710.0,4589409.8,55
2026-03-20,API,API,Unknown,347.8,353.9,342.2,344.4,341.0,1.0,1528471.0,533836737.1,3408
2026-03-20,AVYAN,AVYAN,Unknown,1070.0,1122.0,1070.0,1098.0,1087.9,0.93,31275.0,34621203.9,347
2026-03-20,BANDIPUR,BANDIPUR,Unknown,930.0,954.0,930.0,943.0,939.0,0.43,109303.0,102881817.2,1497
2026-03-20,BARUN,BARUN,Unknown,383.5,401.5,377.2,393.0,376.0,4.52,580488.0,227916490.4,2343
2026-03-20,BBC,BBC,Unknown,4910.0,4910.0,4794.0,4858.0,4843.0,0.31,872.0,4211288.0,48
2026-03-20,BEDC,BEDC,Unknown,538.0,545.7,526.0,533.5,538.5,-0.93,30241.0,16199507.9,269
2026-03-20,BFC,BFC,Unknown,480.0,504.0,480.0,502.0,486.0,3.29,60059.0,29924503.9,331
2026-03-20,BGWT,BGWT,Unknown,767.0,783.0,767.0,770.1,770.0,0.01,5041.0,3906106.2,95
2026-03-20,BHCL,BHCL,Unknown,586.0,597.7,580.0,593.0,586.0,1.19,66263.0,39093840.7,861
2026-03-20,BHDC,BHDC,Unknown,501.0,510.5,501.0,508.0,501.1,1.38,79138.0,40268485.7,475
2026-03-20,BHL,BHL,Unknown,257.0,264.4,256.0,257.7,254.0,1.46,1477841.0,385690359.9,4887
2026-03-20,BHPL,BHPL,Unknown,586.1,620.0,586.1,607.0,598.0,1.51,106402.0,64446317.4,638
2026-03-20,BNHC,BNHC,Unknown,376.0,379.0,372.0,377.0,370.8,1.67,46917.0,17659977.8,330
2026-03-20,BNL,BNL,Unknown,15048.0,15348.9,15048.0,15348.9,15355.0,-0.04,20.0,303969.0,2
2026-03-20,BNT,BNT,Unknown,12000.0,12011.0,11950.0,12000.0,12036.0,-0.3,197.0,2362637.0,20
2026-03-20,BPCL,BPCL,Unknown,711.5,774.1,711.5,752.0,726.0,3.58,161981.0,121427952.5,731
2026-03-20,BUNGAL,BUNGAL,Unknown,632.1,657.0,632.1,645.0,638.2,1.07,33530.0,21711793.4,577
2026-03-20,C30MF,C30MF,Unknown,9.99,10.33,9.99,10.12,10.13,-0.1,11500.0,115821.0,11
2026-03-20,CBBL,CBBL,Unknown,932.0,950.0,931.1,935.0,931.0,0.43,57682.0,54161662.5,564
2026-03-20,CBLD88,CBLD88,Unknown,1185.0,1185.0,1185.0,1175.0,1192.0,-1.43,27.0,31975.0,2
2026-03-20,CFCL,CFCL,Unknown,565.0,575.0,557.0,573.3,557.0,2.93,49887.0,28270081.9,277
2026-03-20,CGH,CGH,Unknown,852.1,875.0,851.3,858.5,851.2,0.86,57623.0,49802092.7,334
2026-03-20,CHCL,CHCL,Unknown,506.0,515.0,499.1,509.7,497.1,2.53,110706.0,56201022.9,560
2026-03-20,CHDC,CHDC,Unknown,2520.0,2538.0,2506.0,2530.0,2509.0,0.84,46339.0,117032648.2,414
2026-03-20,CHL,CHL,Unknown,323.3,330.0,318.0,326.0,317.0,2.84,256804.0,83742131.3,855
2026-03-20,CIT,CIT,Unknown,1850.0,1850.0,1822.0,1840.0,1825.0,0.82,15716.0,28870771.7,310
2026-03-20,CITY,CITY,Unknown,492.0,515.0,490.0,514.0,491.0,4.68,51472.0,25650921.4,390
2026-03-20,CKHL,CKHL,Unknown,710.0,783.0,700.0,744.0,723.8,2.79,15714.0,11497820.1,179
2026-03-20,CLI,CLI,Unknown,475.0,491.9,475.0,490.0,478.7,2.36,55838.0,27246449.6,688
2026-03-20,CMF2,CMF2,Unknown,10.03,10.22,10.03,10.22,10.22,0.0,7150.0,71980.35,12
2026-03-20,CORBL,CORBL,Unknown,1818.3,1960.9,1679.0,1960.9,1782.7,10.0,59999.0,113695631.1,604
2026-03-20,CREST,CREST,Unknown,1385.0,1432.0,1385.0,1429.5,1385.0,3.21,25911.0,36660845.4,512
2026-03-20,CSY,CSY,Unknown,9.5,9.79,9.33,9.47,9.63,-1.66,8950.0,85031.9,50
2026-03-20,CYCL,CYCL,Unknown,1581.0,1606.0,1581.0,1605.0,1600.0,0.31,2186.0,3488463.7,75
2026-03-20,CZBIL,CZBIL,Unknown,210.3,231.0,210.3,227.0,214.5,5.83,622383.0,139226478.2,1441
2026-03-20,DDBL,DDBL,Unknown,870.2,887.0,870.2,885.0,870.1,1.71,15824.0,13984172.0,132
2026-03-20,DHEL,DHEL,Unknown,705.0,717.2,698.1,705.1,704.0,0.16,57051.0,40343840.5,922
2026-03-20,DHPL,DHPL,Unknown,335.0,340.0,328.5,339.0,332.0,2.11,37562.0,12701329.4,235
2026-03-20,DLBS,DLBS,Unknown,1349.0,1368.9,1349.0,1352.1,1349.0,0.23,897.0,1217265.0,38
